Cj,Real weights,DE weights
$C_{1}$,0.010043548249915362,0.010128614591011147
$C_{2}$,0.10928148974455777,0.10917704359457826
$C_{3}$,0.023700707290902106,0.023692132453160302
$C_{4}$,0.10184026565291955,0.10172808215890933
$C_{5}$,0.0812916219383871,0.08120511980328929
$C_{6}$,0.0996213976324559,0.09960679089457118
$C_{7}$,0.02759493059050472,0.02759407469897128
$C_{8}$,0.027573968796312652,0.027538803166502868
$C_{9}$,0.004936607478763262,0.004853954004327166
$C_{10}$,0.02144646980659137,0.021468127607416374
$C_{11}$,0.03400388128037265,0.03394558328031115
$C_{12}$,0.037897942972243116,0.038043734571101294
$C_{13}$,0.00949281654390043,0.00950865233330735
$C_{14}$,0.02209396205754386,0.022445540835173878
$C_{15}$,0.009535711982695464,0.009582297588494116
$C_{16}$,0.04838111854452147,0.04835928230533124
$C_{17}$,0.02120319181302657,0.02108096788185808
$C_{18}$,0.04148781028253279,0.04139145519061931
$C_{19}$,0.10484955876362217,0.1047603573630631
$C_{20}$,0.10676077937150856,0.10666803137004542
$C_{21}$,0.05696221920672313,0.05722135430795782
