,Real,DE,Entropy,CRITIC,Gini
$A_{1}$,274,274,260,291,296
$A_{2}$,326,326,323,278,272
$A_{3}$,331,331,324,316,309
$A_{4}$,234,234,240,179,197
$A_{5}$,225,224,213,220,206
$A_{6}$,135,135,121,112,123
$A_{7}$,261,261,271,266,271
$A_{8}$,240,240,224,248,238
$A_{9}$,107,107,90,80,66
$A_{10}$,220,220,227,242,226
$A_{11}$,5,5,5,1,1
$A_{12}$,284,284,287,269,303
$A_{13}$,87,87,80,105,125
$A_{14}$,99,98,91,141,52
$A_{15}$,263,263,268,196,220
$A_{16}$,207,207,215,113,135
$A_{17}$,54,54,48,74,62
$A_{18}$,276,276,272,268,276
$A_{19}$,50,50,58,94,89
$A_{20}$,242,242,241,258,247
$A_{21}$,280,280,255,265,286
$A_{22}$,139,139,133,93,110
$A_{23}$,372,372,374,387,376
$A_{24}$,388,388,386,371,368
$A_{25}$,218,218,201,195,198
$A_{26}$,389,389,389,393,392
$A_{27}$,351,351,349,356,377
$A_{28}$,313,313,315,338,329
$A_{29}$,110,110,108,46,56
$A_{30}$,346,346,355,369,363
$A_{31}$,13,13,10,11,16
$A_{32}$,58,58,49,65,88
$A_{33}$,152,152,150,190,188
$A_{34}$,214,214,239,180,167
$A_{35}$,395,395,396,394,394
$A_{36}$,8,8,8,15,12
$A_{37}$,237,237,222,193,185
$A_{38}$,1,1,1,2,4
$A_{39}$,231,231,229,271,264
$A_{40}$,223,223,216,233,184
$A_{41}$,376,376,376,373,378
$A_{42}$,62,62,73,61,79
$A_{43}$,397,397,397,389,389
$A_{44}$,32,32,33,36,37
$A_{45}$,248,248,279,212,243
$A_{46}$,301,301,312,300,292
$A_{47}$,72,73,74,116,93
$A_{48}$,399,399,399,400,400
$A_{49}$,15,15,15,19,15
$A_{50}$,45,45,37,68,64
$A_{51}$,254,254,251,181,159
$A_{52}$,209,209,199,161,157
$A_{53}$,35,35,40,50,50
$A_{54}$,337,337,340,340,307
$A_{55}$,394,394,395,391,397
$A_{56}$,206,206,217,273,240
$A_{57}$,305,305,294,274,230
$A_{58}$,278,278,286,209,241
$A_{59}$,65,65,63,42,35
$A_{60}$,114,114,88,186,136
$A_{61}$,270,270,261,232,250
$A_{62}$,82,82,81,51,41
$A_{63}$,296,296,293,267,242
$A_{64}$,354,354,351,379,365
$A_{65}$,80,80,77,99,73
$A_{66}$,235,235,244,295,237
$A_{67}$,147,147,158,108,127
$A_{68}$,379,379,375,322,338
$A_{69}$,352,352,358,360,336
$A_{70}$,120,120,132,139,131
$A_{71}$,327,327,332,355,348
$A_{72}$,22,22,23,22,31
$A_{73}$,302,302,302,259,239
$A_{74}$,205,205,204,191,187
$A_{75}$,150,150,161,215,156
$A_{76}$,228,228,232,204,218
$A_{77}$,398,398,398,398,399
$A_{78}$,85,85,86,136,142
$A_{79}$,137,137,136,157,148
$A_{80}$,49,49,50,62,63
$A_{81}$,241,241,220,261,306
$A_{82}$,319,319,320,341,340
$A_{83}$,154,154,147,207,199
$A_{84}$,355,355,354,363,358
$A_{85}$,76,76,79,85,120
$A_{86}$,360,360,365,349,335
$A_{87}$,393,393,393,397,395
$A_{88}$,370,370,372,376,362
$A_{89}$,180,180,179,155,194
$A_{90}$,10,10,9,16,13
$A_{91}$,175,175,170,127,163
$A_{92}$,160,160,167,75,70
$A_{93}$,317,317,317,297,343
$A_{94}$,286,286,296,318,327
$A_{95}$,292,292,289,303,254
$A_{96}$,230,230,234,167,180
$A_{97}$,94,94,93,58,57
$A_{98}$,169,169,166,140,122
$A_{99}$,285,285,273,286,300
$A_{100}$,168,168,168,217,217
$A_{101}$,357,357,359,381,374
$A_{102}$,221,221,219,285,209
$A_{103}$,119,119,131,182,160
$A_{104}$,380,380,378,380,388
$A_{105}$,144,144,156,130,169
$A_{106}$,340,341,335,299,293
$A_{107}$,173,173,183,188,219
$A_{108}$,36,36,39,87,74
$A_{109}$,341,340,339,372,370
$A_{110}$,146,146,151,185,179
$A_{111}$,177,177,172,199,164
$A_{112}$,291,291,291,324,298
$A_{113}$,215,215,231,98,126
$A_{114}$,165,164,164,174,154
$A_{115}$,37,37,34,25,20
$A_{116}$,133,133,142,129,134
$A_{117}$,332,332,328,320,332
$A_{118}$,329,329,325,370,354
$A_{119}$,167,167,178,240,211
$A_{120}$,279,279,283,308,262
$A_{121}$,190,190,180,287,235
$A_{122}$,345,345,338,328,341
$A_{123}$,307,307,307,280,269
$A_{124}$,243,243,245,203,223
$A_{125}$,41,41,47,45,48
$A_{126}$,290,290,300,225,224
$A_{127}$,75,75,71,34,32
$A_{128}$,97,97,95,151,101
$A_{129}$,273,273,248,253,275
$A_{130}$,153,153,152,142,155
$A_{131}$,20,20,20,14,24
$A_{132}$,362,362,353,352,360
$A_{133}$,40,40,44,39,43
$A_{134}$,145,145,145,160,168
$A_{135}$,3,3,4,6,6
$A_{136}$,48,48,54,91,71
$A_{137}$,267,267,269,284,290
$A_{138}$,245,245,265,315,314
$A_{139}$,188,188,190,162,149
$A_{140}$,77,77,82,123,138
$A_{141}$,66,66,53,73,83
$A_{142}$,300,300,292,223,295
$A_{143}$,201,201,193,158,215
$A_{144}$,219,219,242,260,320
$A_{145}$,262,262,266,317,317
$A_{146}$,128,128,125,107,132
$A_{147}$,4,4,2,5,7
$A_{148}$,187,187,184,244,222
$A_{149}$,256,256,233,264,246
$A_{150}$,181,181,175,224,192
$A_{151}$,84,84,87,57,102
$A_{152}$,282,282,295,302,288
$A_{153}$,30,30,32,29,26
$A_{154}$,47,47,43,104,104
$A_{155}$,310,310,311,350,328
$A_{156}$,356,356,366,374,379
$A_{157}$,28,28,30,40,38
$A_{158}$,103,103,101,76,78
$A_{159}$,70,70,57,103,113
$A_{160}$,104,106,112,156,86
$A_{161}$,222,222,203,229,200
$A_{162}$,189,189,188,170,210
$A_{163}$,109,109,122,70,77
$A_{164}$,2,2,3,7,3
$A_{165}$,129,129,127,120,128
$A_{166}$,43,43,51,72,82
$A_{167}$,113,113,113,55,72
$A_{168}$,25,25,26,38,23
$A_{169}$,227,226,247,147,171
$A_{170}$,92,92,105,122,94
$A_{171}$,358,358,356,335,304
$A_{172}$,324,324,329,336,333
$A_{173}$,74,74,64,124,124
$A_{174}$,34,34,29,101,69
$A_{175}$,106,104,110,33,42
$A_{176}$,158,158,153,131,165
$A_{177}$,321,321,316,288,268
$A_{178}$,73,72,76,90,109
$A_{179}$,322,322,308,368,366
$A_{180}$,64,63,67,106,119
$A_{181}$,396,396,394,396,396
$A_{182}$,334,334,326,330,285
$A_{183}$,182,182,182,86,108
$A_{184}$,252,252,264,243,280
$A_{185}$,202,202,209,279,297
$A_{186}$,348,348,343,351,342
$A_{187}$,233,233,235,255,259
$A_{188}$,192,192,202,289,232
$A_{189}$,159,159,148,293,214
$A_{190}$,134,134,129,202,174
$A_{191}$,381,381,381,382,381
$A_{192}$,217,217,207,194,196
$A_{193}$,343,343,348,325,339
$A_{194}$,108,108,116,171,158
$A_{195}$,344,344,342,310,261
$A_{196}$,27,27,24,9,10
$A_{197}$,244,244,236,282,228
$A_{198}$,325,325,318,214,236
$A_{199}$,264,264,270,254,273
$A_{200}$,164,165,159,201,213
$A_{201}$,336,336,327,339,367
$A_{202}$,111,111,102,119,96
$A_{203}$,288,288,276,230,256
$A_{204}$,186,185,191,164,130
$A_{205}$,315,315,314,337,349
$A_{206}$,6,6,6,10,9
$A_{207}$,249,249,259,210,189
$A_{208}$,125,125,119,95,100
$A_{209}$,138,138,126,178,173
$A_{210}$,88,88,84,64,59
$A_{211}$,174,174,177,165,177
$A_{212}$,91,91,94,100,80
$A_{213}$,212,212,218,290,284
$A_{214}$,178,178,174,247,251
$A_{215}$,353,353,357,383,375
$A_{216}$,347,347,347,309,330
$A_{217}$,312,312,309,331,326
$A_{218}$,130,130,123,137,133
$A_{219}$,277,277,277,228,216
$A_{220}$,124,124,117,69,92
$A_{221}$,198,198,214,189,248
$A_{222}$,44,44,42,23,30
$A_{223}$,371,371,373,321,357
$A_{224}$,232,232,226,222,181
$A_{225}$,382,382,385,395,390
$A_{226}$,387,387,387,378,380
$A_{227}$,295,295,282,272,301
$A_{228}$,258,258,267,172,208
$A_{229}$,226,227,212,263,193
$A_{230}$,157,157,139,121,144
$A_{231}$,79,79,83,187,170
$A_{232}$,21,21,22,30,14
$A_{233}$,53,53,62,28,46
$A_{234}$,373,373,380,354,371
$A_{235}$,375,375,371,388,387
$A_{236}$,365,365,369,366,355
$A_{237}$,294,294,281,353,308
$A_{238}$,391,391,391,390,393
$A_{239}$,170,170,154,184,186
$A_{240}$,342,342,336,270,305
$A_{241}$,156,156,157,192,203
$A_{242}$,116,116,98,128,91
$A_{243}$,141,141,135,149,141
$A_{244}$,17,17,17,24,21
$A_{245}$,78,78,75,134,152
$A_{246}$,56,56,65,21,39
$A_{247}$,203,203,221,313,299
$A_{248}$,318,318,333,314,331
$A_{249}$,311,311,313,319,337
$A_{250}$,19,19,19,17,22
$A_{251}$,320,320,319,332,310
$A_{252}$,102,102,106,54,29
$A_{253}$,229,229,228,235,231
$A_{254}$,98,99,111,37,44
$A_{255}$,266,266,258,231,225
$A_{256}$,60,60,55,82,87
$A_{257}$,24,24,25,60,61
$A_{258}$,298,298,299,262,294
$A_{259}$,383,383,379,375,382
$A_{260}$,86,86,92,109,129
$A_{261}$,18,18,18,4,2
$A_{262}$,259,259,262,236,274
$A_{263}$,61,61,69,84,106
$A_{264}$,366,366,363,348,359
$A_{265}$,369,369,367,334,352
$A_{266}$,390,390,390,385,386
$A_{267}$,184,184,189,163,98
$A_{268}$,299,299,304,312,282
$A_{269}$,339,339,330,333,321
$A_{270}$,136,136,146,102,115
$A_{271}$,293,293,274,306,302
$A_{272}$,330,330,334,344,344
$A_{273}$,253,253,263,226,245
$A_{274}$,59,59,66,110,112
$A_{275}$,151,151,143,145,175
$A_{276}$,328,328,331,329,316
$A_{277}$,257,257,280,292,257
$A_{278}$,289,289,301,234,278
$A_{279}$,68,68,60,59,81
$A_{280}$,281,281,288,197,260
$A_{281}$,140,140,155,132,137
$A_{282}$,374,374,370,365,356
$A_{283}$,338,338,345,296,319
$A_{284}$,55,55,59,79,45
$A_{285}$,308,308,310,346,325
$A_{286}$,71,71,70,97,103
$A_{287}$,115,115,104,135,95
$A_{288}$,29,29,28,35,28
$A_{289}$,333,333,341,357,373
$A_{290}$,83,83,78,125,150
$A_{291}$,260,260,275,238,270
$A_{292}$,385,385,382,367,384
$A_{293}$,193,193,200,176,221
$A_{294}$,386,386,384,386,391
$A_{295}$,216,216,238,277,311
$A_{296}$,269,269,253,283,281
$A_{297}$,316,316,321,294,315
$A_{298}$,46,46,46,49,65
$A_{299}$,247,247,246,276,263
$A_{300}$,196,196,208,168,229
$A_{301}$,33,33,36,32,27
$A_{302}$,204,204,196,218,190
$A_{303}$,250,250,257,251,252
$A_{304}$,367,367,368,327,323
$A_{305}$,349,349,346,343,345
$A_{306}$,131,131,140,118,146
$A_{307}$,176,176,173,166,183
$A_{308}$,239,239,243,208,212
$A_{309}$,194,194,185,241,267
$A_{310}$,179,179,187,143,145
$A_{311}$,246,246,249,216,227
$A_{312}$,105,105,109,26,33
$A_{313}$,384,384,388,384,383
$A_{314}$,306,306,297,326,313
$A_{315}$,199,199,197,173,244
$A_{316}$,52,52,45,41,51
$A_{317}$,191,191,206,252,291
$A_{318}$,268,268,278,249,283
$A_{319}$,162,161,176,227,201
$A_{320}$,14,14,11,12,18
$A_{321}$,123,123,118,114,118
$A_{322}$,100,100,96,92,76
$A_{323}$,363,363,361,305,324
$A_{324}$,89,89,97,198,151
$A_{325}$,213,213,210,213,162
$A_{326}$,69,69,72,146,111
$A_{327}$,38,38,41,27,36
$A_{328}$,39,39,35,47,47
$A_{329}$,364,364,362,359,364
$A_{330}$,210,210,223,275,266
$A_{331}$,142,142,138,219,178
$A_{332}$,200,200,186,150,140
$A_{333}$,309,309,298,301,312
$A_{334}$,90,90,107,83,60
$A_{335}$,101,101,89,78,68
$A_{336}$,195,195,192,200,205
$A_{337}$,275,275,254,175,204
$A_{338}$,63,64,52,71,97
$A_{339}$,7,7,7,13,11
$A_{340}$,67,67,56,43,58
$A_{341}$,303,303,303,250,265
$A_{342}$,166,166,169,177,116
$A_{343}$,323,323,344,358,350
$A_{344}$,172,172,165,152,202
$A_{345}$,149,149,144,169,176
$A_{346}$,16,16,16,8,5
$A_{347}$,57,57,68,48,34
$A_{348}$,11,12,14,18,17
$A_{349}$,31,31,31,44,40
$A_{350}$,297,297,306,239,234
$A_{351}$,42,42,38,56,49
$A_{352}$,96,96,103,126,85
$A_{353}$,211,211,198,205,195
$A_{354}$,93,93,100,66,55
$A_{355}$,183,183,194,257,255
$A_{356}$,171,171,171,133,117
$A_{357}$,378,378,377,347,369
$A_{358}$,118,118,128,159,153
$A_{359}$,185,186,181,245,279
$A_{360}$,314,314,322,323,347
$A_{361}$,127,127,134,138,139
$A_{362}$,304,304,305,304,334
$A_{363}$,112,112,115,153,121
$A_{364}$,368,368,364,361,361
$A_{365}$,255,255,256,237,258
$A_{366}$,272,272,252,183,166
$A_{367}$,12,11,13,31,25
$A_{368}$,359,359,352,377,372
$A_{369}$,148,148,149,115,84
$A_{370}$,224,225,211,154,161
$A_{371}$,117,117,99,77,67
$A_{372}$,126,126,130,63,90
$A_{373}$,400,400,400,399,398
$A_{374}$,122,122,120,96,99
$A_{375}$,392,392,392,392,385
$A_{376}$,23,23,21,52,53
$A_{377}$,132,132,141,111,143
$A_{378}$,283,283,284,206,191
$A_{379}$,265,265,250,256,253
$A_{380}$,155,155,160,117,147
$A_{381}$,335,335,337,364,353
$A_{382}$,197,197,195,281,249
$A_{383}$,238,238,237,246,233
$A_{384}$,377,377,383,345,351
$A_{385}$,350,350,350,362,322
$A_{386}$,95,95,114,53,54
$A_{387}$,51,51,61,81,75
$A_{388}$,143,143,137,88,107
$A_{389}$,271,271,285,307,318
$A_{390}$,26,26,27,20,19
$A_{391}$,163,163,162,144,172
$A_{392}$,9,9,12,3,8
