Ai,$C_{1}$,$C_{2}$,$C_{3}$,$C_{4}$,$C_{5}$,$C_{6}$,$C_{7}$,$C_{8}$,$C_{9}$,$C_{10}$,$C_{11}$,$C_{12}$,$C_{13}$,$C_{14}$,$C_{15}$,$C_{16}$,$C_{17}$,$C_{18}$,$C_{19}$,$C_{20}$,$C_{21}$,Rank
$A_{1}$,1923.0,0.0,0.5,1.0,7.0,0.0,46.0,0.5,191.0,1.0,10.0,767.0,1759.0,1489.0,10.0,9.0,3.0,1.0,1.0,1.0,1.0,495
$A_{2}$,633.0,1.0,2.2,0.0,0.0,1.0,49.0,0.1,139.0,8.0,1.0,529.0,1009.0,3560.0,11.0,1.0,16.0,1.0,1.0,1.0,2.0,190
$A_{3}$,1236.0,0.0,0.9,1.0,2.0,1.0,57.0,0.1,188.0,1.0,14.0,517.0,809.0,1406.0,14.0,12.0,20.0,1.0,0.0,1.0,0.0,359
$A_{4}$,781.0,0.0,1.1,0.0,2.0,0.0,38.0,0.4,198.0,5.0,7.0,304.0,1674.0,3508.0,13.0,8.0,5.0,0.0,0.0,1.0,3.0,1539
$A_{5}$,1456.0,1.0,0.5,1.0,7.0,0.0,7.0,0.4,105.0,5.0,12.0,823.0,1104.0,1587.0,6.0,5.0,20.0,1.0,0.0,1.0,1.0,454
$A_{6}$,1741.0,1.0,0.5,0.0,1.0,1.0,55.0,0.1,140.0,5.0,3.0,719.0,755.0,2575.0,13.0,10.0,7.0,1.0,1.0,1.0,2.0,178
$A_{7}$,1512.0,0.0,0.9,0.0,4.0,1.0,46.0,0.1,145.0,5.0,5.0,336.0,670.0,869.0,18.0,10.0,19.0,1.0,1.0,1.0,0.0,376
$A_{8}$,763.0,0.0,1.7,1.0,8.0,1.0,2.0,0.5,92.0,8.0,14.0,1028.0,1186.0,1050.0,6.0,4.0,8.0,1.0,1.0,0.0,0.0,408
$A_{9}$,1099.0,0.0,0.5,0.0,13.0,1.0,61.0,0.3,146.0,3.0,20.0,393.0,1096.0,1699.0,17.0,10.0,3.0,1.0,1.0,1.0,1.0,294
$A_{10}$,1994.0,1.0,0.8,1.0,2.0,1.0,7.0,0.6,88.0,8.0,4.0,667.0,711.0,454.0,11.0,8.0,6.0,1.0,1.0,0.0,0.0,188
$A_{11}$,1966.0,1.0,1.4,1.0,2.0,0.0,40.0,0.9,185.0,8.0,18.0,1197.0,1987.0,1185.0,11.0,2.0,20.0,0.0,1.0,0.0,2.0,696
$A_{12}$,503.0,0.0,2.5,0.0,3.0,0.0,57.0,0.6,185.0,6.0,11.0,778.0,1291.0,305.0,11.0,8.0,16.0,0.0,0.0,1.0,0.0,1383
$A_{13}$,1329.0,1.0,1.7,0.0,5.0,1.0,23.0,0.6,198.0,8.0,6.0,380.0,682.0,2308.0,11.0,10.0,9.0,1.0,1.0,0.0,1.0,490
$A_{14}$,743.0,0.0,0.5,1.0,0.0,1.0,33.0,0.3,95.0,2.0,1.0,1587.0,1659.0,316.0,19.0,10.0,4.0,1.0,0.0,0.0,0.0,1021
$A_{15}$,1407.0,1.0,2.4,0.0,1.0,1.0,22.0,0.7,104.0,4.0,4.0,1172.0,1217.0,2192.0,9.0,7.0,13.0,1.0,0.0,1.0,2.0,627
$A_{16}$,1617.0,0.0,1.5,0.0,1.0,1.0,63.0,0.7,111.0,2.0,10.0,274.0,1079.0,2754.0,19.0,10.0,8.0,1.0,1.0,1.0,2.0,598
$A_{17}$,1559.0,1.0,1.6,1.0,6.0,1.0,6.0,0.5,162.0,6.0,17.0,179.0,1559.0,3352.0,9.0,1.0,3.0,1.0,1.0,1.0,3.0,49
$A_{18}$,1760.0,0.0,1.4,1.0,5.0,0.0,63.0,0.8,127.0,8.0,19.0,1382.0,1383.0,2053.0,19.0,12.0,16.0,0.0,1.0,0.0,2.0,895
$A_{19}$,609.0,0.0,0.5,0.0,3.0,0.0,26.0,0.3,93.0,4.0,4.0,938.0,1948.0,1866.0,11.0,10.0,14.0,1.0,1.0,1.0,1.0,966
$A_{20}$,1424.0,0.0,0.5,1.0,16.0,1.0,23.0,0.6,80.0,4.0,18.0,1399.0,1663.0,1053.0,14.0,11.0,16.0,1.0,1.0,1.0,1.0,36
$A_{21}$,1315.0,1.0,2.6,0.0,7.0,0.0,64.0,0.8,128.0,7.0,16.0,59.0,575.0,3278.0,6.0,3.0,13.0,0.0,0.0,0.0,2.0,1438
$A_{22}$,1730.0,0.0,2.0,1.0,0.0,1.0,20.0,0.1,143.0,4.0,10.0,418.0,1023.0,1595.0,14.0,0.0,12.0,1.0,1.0,0.0,1.0,666
$A_{23}$,1949.0,1.0,0.5,1.0,2.0,1.0,31.0,0.1,145.0,5.0,9.0,837.0,1182.0,832.0,7.0,3.0,19.0,1.0,0.0,0.0,1.0,544
$A_{24}$,1395.0,1.0,2.8,0.0,0.0,1.0,55.0,0.6,118.0,3.0,1.0,782.0,1787.0,3373.0,11.0,2.0,16.0,1.0,1.0,0.0,3.0,722
$A_{25}$,794.0,0.0,2.5,1.0,15.0,0.0,14.0,0.6,197.0,3.0,19.0,312.0,1376.0,2171.0,19.0,8.0,18.0,0.0,0.0,1.0,1.0,877
$A_{26}$,1358.0,0.0,1.7,0.0,0.0,0.0,60.0,0.6,147.0,3.0,1.0,889.0,1635.0,440.0,14.0,10.0,13.0,1.0,0.0,0.0,0.0,1546
$A_{27}$,1901.0,1.0,0.5,0.0,5.0,1.0,41.0,0.6,131.0,2.0,17.0,3.0,1662.0,368.0,5.0,1.0,12.0,1.0,0.0,0.0,0.0,1013
$A_{28}$,1735.0,1.0,1.9,1.0,0.0,1.0,59.0,0.7,148.0,6.0,0.0,137.0,846.0,3230.0,6.0,1.0,9.0,1.0,1.0,0.0,3.0,407
$A_{29}$,919.0,0.0,0.5,1.0,11.0,0.0,13.0,0.3,159.0,1.0,15.0,275.0,570.0,1028.0,8.0,4.0,17.0,1.0,0.0,0.0,0.0,1346
$A_{30}$,769.0,1.0,1.2,0.0,2.0,0.0,17.0,0.1,95.0,8.0,4.0,1384.0,1454.0,1877.0,18.0,2.0,11.0,0.0,0.0,1.0,1.0,1117
$A_{31}$,1190.0,1.0,2.2,1.0,9.0,0.0,47.0,0.3,186.0,6.0,10.0,1417.0,1441.0,624.0,9.0,3.0,19.0,1.0,1.0,1.0,0.0,39
$A_{32}$,769.0,0.0,0.5,1.0,12.0,1.0,54.0,0.2,112.0,4.0,19.0,1385.0,1780.0,941.0,15.0,8.0,20.0,1.0,0.0,1.0,0.0,161
$A_{33}$,1702.0,0.0,1.0,0.0,7.0,0.0,36.0,0.1,177.0,5.0,9.0,1240.0,1931.0,1430.0,8.0,6.0,10.0,0.0,0.0,0.0,2.0,1565
$A_{34}$,612.0,1.0,0.7,0.0,6.0,0.0,35.0,0.6,181.0,5.0,12.0,1294.0,1337.0,3169.0,14.0,9.0,6.0,0.0,0.0,0.0,2.0,1458
$A_{35}$,1589.0,0.0,0.6,0.0,0.0,0.0,5.0,0.8,112.0,5.0,2.0,776.0,1397.0,3430.0,7.0,5.0,19.0,1.0,1.0,1.0,3.0,1304
$A_{36}$,1201.0,1.0,0.5,0.0,2.0,0.0,10.0,1.0,99.0,7.0,7.0,306.0,558.0,495.0,15.0,6.0,14.0,1.0,1.0,1.0,0.0,631
$A_{37}$,1524.0,1.0,1.8,1.0,0.0,0.0,10.0,0.6,174.0,4.0,1.0,154.0,550.0,2678.0,16.0,5.0,13.0,1.0,0.0,1.0,2.0,803
